#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2026-02-11-11-23-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	version	user_agent	origin	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	tags	username	password	proxied	orig_fuids	orig_filenames	orig_mime_types	resp_fuids	resp_filenames	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	string	string	count	count	count	string	count	string	set[enum]	string	string	set[string]	vector[string]	vector[string]	vector[string]	vector[string]	vector[string]	vector[string]
1770826995.477777	C6nYlS3wgqjEAJZLo4	192.168.66.40	54356	142.251.220.99	80	1	POST	o.pki.goog	/we2	-	1.1	Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0	-	84	280	200	OK	-	-	(empty)	-	-	-	FoRbxc4zQpx3bjfU8	-	application/ocsp-request	FWXBbw4PFGk3OtyD0g	-	application/ocsp-response
1770826996.343540	CZdpQR1GN4vOgBZQh6	192.168.66.40	43490	34.107.221.82	80	1	GET	detectportal.firefox.com	/success.txt?ipv4	-	1.1	Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0	-	0	8	200	OK	-	-	(empty)	-	-	-	-	-	-	FxwtNT31bX9I5XLtk5	-	-
1770827000.462461	CyoUmabsdo0skcB6i	192.168.66.40	48260	142.250.182.78	80	1	GET	clients2.google.com	/time/1/current?cup2key=9:6TDfl9gAZh8FsrVIyqTYRc1ePP6yYtOkyk1gECrmcKI&cup2hreq=e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	-	1.1	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36	-	0	81	200	OK	-	-	(empty)	-	-	-	-	-	-	FdJmRt1i1QWtpVjTwb	json.txt	text/plain
1770827066.817808	CAFv3NZFpYnygeK4l	2401:4900:25d3:349d:9d80:eb72:e2cf:e0ce	60596	2600:1901:0:38d7::	80	1	GET	detectportal.firefox.com	/success.txt?ipv6	-	1.1	Mozilla/5.0 (X11; Linux x86_64; rv:140.0) Gecko/20100101 Firefox/140.0	-	0	8	200	OK	-	-	(empty)	-	-	-	-	-	-	FveU6YNPUyLWSeekc	-	-
1770827061.367063	CY6bRSSGSb9jmVZyd	192.168.66.40	60802	34.104.35.123	80	1	GET	edgedl.me.gvt1.com	/edgedl/release2/chrome_component/accssjtqfpf5qicscrptql4jyyxa_4.10.2934.0/oimompecagnajdejgnnjijobebaeigek_4.10.2934.0_linux_ph722a3wl2goebkpserszm6bde.crx3	-	1.1	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36	-	0	18257362	200	OK	-	-	(empty)	-	-	-	-	-	-	FSb9FY16BRX4YxbD0g	-	application/chrome-ext
1770827107.657948	CY6bRSSGSb9jmVZyd	192.168.66.40	60802	34.104.35.123	80	2	GET	edgedl.me.gvt1.com	/edgedl/release2/chrome_component/acrx7ouhu6es4mtakecyfqbyef2q_1.1.0.3/laoigpblnllgcgjnjnllmfolckpjlhki_1.1.0.3_all_adwgvw4jdcarox4vlsm7t4gq257a.crx3	-	1.1	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36	-	0	12491	200	OK	-	-	(empty)	-	-	-	-	-	-	FhLooS3uNulTO5Bhvj	-	application/chrome-ext
1770827131.581185	CY6bRSSGSb9jmVZyd	192.168.66.40	60802	34.104.35.123	80	3	GET	edgedl.me.gvt1.com	/edgedl/diffgen-puffin/jflookgnkcckhobaglndicnbbgbonegd/ac83a0cacf04394ae254e3785259fd7a4c5dcbb00b71d2f3f3d9e88597a28951	-	1.1	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36	-	0	67976	200	OK	-	-	(empty)	-	-	-	-	-	-	FZOkzJ3ZUnLx8vSmJc	-	application/x-xz
1770827132.085289	CY6bRSSGSb9jmVZyd	192.168.66.40	60802	34.104.35.123	80	4	GET	edgedl.me.gvt1.com	/edgedl/diffgen-puffin/gcmjkmgdlgnkkcocmoeiminaijmmjnii/655995d20258ba80f5a50a02e7b2172945cd20436f51a653aad26fb741114ed1	-	1.1	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36	-	0	58264	200	OK	-	-	(empty)	-	-	-	-	-	-	FsXql64mNf0KHIbBTi	-	application/x-xz
1770827132.773619	CY6bRSSGSb9jmVZyd	192.168.66.40	60802	34.104.35.123	80	5	GET	edgedl.me.gvt1.com	/edgedl/release2/chrome_component/gtfcauyzxpjqkf6fibw4ifmvnu_10339/hfnkpimlhhgieaddgfemjhofmfblmnib_10339_all_acqavjg6iuvagjycvg3legrjykia.crx3	-	1.1	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36	-	0	670627	200	OK	-	-	(empty)	-	-	-	-	-	-	FfemkE11igRLLaQrH	-	application/chrome-ext
1770827134.326945	C2UOWkLv92Nz6QMvd	2401:4900:25d3:349d:9d80:eb72:e2cf:e0ce	45822	2600:1900:4110:86f::	80	1	GET	edgedl.me.gvt1.com	/edgedl/release2/chrome_component/ac6ci5mwrvihfwmuttvglzv6q75a_2024.11.26.0/mcfjlbnicoclaecapilmleaelokfnijm_2024.11.26.0_all_do5eyaqjmaujuqh6egr6ybx4mu.crx3	-	1.1	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36	-	0	5187	200	OK	-	-	(empty)	-	-	-	-	-	-	FlMpSChlFcLW6SaV5	-	application/chrome-ext
1770827135.869238	C2UOWkLv92Nz6QMvd	2401:4900:25d3:349d:9d80:eb72:e2cf:e0ce	45822	2600:1900:4110:86f::	80	2	GET	edgedl.me.gvt1.com	/edgedl/diffgen-puffin/eeigpngbgcognadeebkilcpcaedhellh/c7f7ea7e08d298a80765a4487523560228a6b60c4ff767480b2e91fc313de154	-	1.1	Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/140.0.0.0 Safari/537.36	-	0	82164	200	OK	-	-	(empty)	-	-	-	-	-	-	Fk2YAv4N56M8lHPDS1	-	application/x-xz
